ID,REVIEW,LABEL,LENGTH,PREPROCESS,LENGTH_PRE
0,"The waiter is not friendly, the person wears night guard glasses",1,64,waiter not friendly person wears night guard glasses,52
1,"kak nya enak banget, pelayanan nya cepat tanggap dan yang pertama murah senyum",5,78,kak enak banget cepat tanggap pertama murah senyum,50
2,"Pelayanan sangat ramah, banyak promo nya",5,40,sangat ramah banyak promo,25
3,tempat nya nyaman dan bersih,5,28,nyaman bersih,13
4,"Pelayanan cepat dan bagus, coba Durian Coffee yang baru mantap...",5,65,cepat bagus coba durian coffee baru mantap,42
5,Enak....nyaman,5,14,enak nyaman,11
6,"Pelayanan nya cepat ,ramah, baik",5,32,cepat ramah baik,16
7,"Pelayanan lama, semrawut, penyajian pesanan customer yang order dulu kalah cepat dengan yang order belakang nya. Ayo semangat berbenah untuk lebih baik lagi",1,156,lama semrawut saji pesan customer order dulu kalah cepat order belakang ayo semangat benah lebih baik,101
8,"Kopken tempat paling the best buat nugas     pelayanan nya ramah, hanya wastafel di lantai 3 tidak bisa nyala. But overall semua nya bagus",5,138,paling best buat nugas ramah wastafel lantai tidak nyala overall semua bagus,76
9,Pelayanan nya ramah. mutu nya selalu stabil rasa kopi nya.,5,58,ramah mutu selalu stabil rasa kopi,34
10,Promo nya  banyak banget,5,24,promo banyak banget,19
11,Makasi mantap,5,13,makas mantap,12
12,Pelayanan super lama dan pegawai wanita nya tidak sopan dan cara bicara nya kasar ke pembeli,1,92,super lama pegawai wanita tidak sopan cara bicara kasar beli,60
13,Soto Lamongan di jalan Wiyung,5,29,soto lamongan jalan wiyung,26
14,"Enak buat nongkrong atau kerja tugas karena tempat nya luas, bersih, tidak terlalu ramai. Di setiap meja ada colokan, dan kalau kita request cable roll mereka menyediakan untuk dipinjam gratis. Kopi dan makanan nya tidak perlu diragukan lagi, sesuai standard Excelso.",5,267,enak buat nongkrong kerja tugas karena luas bersih tidak terlalu ramai tiap meja colok kalau request cable roll sedia pinjam gratis kopi tidak perlu ragu sesuai standard,169
15,"pelayanan nya oke deh, tempat nya juga bersih",5,45,oke bersih,10
